"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"IC1";"LQFP128_14x14mm_0.4mmPitch_iMX233";1;"IMX233";;;
2;"P8,P7";"PIN_ARRAY_2X1";2;"CONN_2";;;
3;"SW1,SW3";"PIN_ARRAY_3X1";2;"SWITCH_INV";;;
4;"P2";"PIN_ARRAY_5x1";1;"CONN_5";;;
5;"reg_5v1";"PIN_ARRAY_1";1;"CONN_1";;;
6;"P6";"PIN_ARRAY_4x1";1;"CONN_4";;;
7;"SW2";"SW_PUSH_SMALL";1;"SWITCH_PUSHBUTTON";;;
8;"X1";"HC-49V";1;"24MHz";;;
9;"P1";"PIN_ARRAY_15X2";1;"CONN_30";;;
10;"IC2";"TSOP66_JEDEC_DDR_SDRAM";1;"DDR_SDRAM_MT46_X16";;;
11;"U1";"Memory_Card_microSD_DM3CS-SF";1;"CONN_MICROSD";;;
12;"D1";"SM1206";1;"ZENER";;;
13;"R20,R10,R7";"SM0805";3;"47k";;;
14;"R14";"SM0805";1;"1K";;;
15;"R15";"SM0805";1;"100k";;;
16;"R9,R8,R18,R4,R1";"SM0805";5;"4.7k";;;
17;"R13,R19,R17";"SM0805";3;"100";;;
18;"C17,C47,C16,C48,C27,C49,C50,C46,C51,C9,C23,C14,C40,C19,C43,C28";"SM0805";16;"22uF";;;
19;"R6,R5,R2";"SM0805";3;"10k";;;
20;"R11,R12";"SM0805";2;"1k(1%)";;;
21;"C10";"SM0603_Opendous";1;"100nf";;;
22;"C41,C37,C12,C13,C6,C8,C11,C15,C18,C25,C26,C44";"SM0603_Capa";12;"100nF";;;
23;"C21";"SM0603_Capa";1;"1uF";;;
24;"C5,C4,C53";"SM0603_Capa";3;"100nf";;;
25;"C1,C2";"SM0603_Capa";2;"10pf";;;
26;"C34,C33,C32,C31,C30,C29";"SM0603";6;"100nF";;;
27;"JP1";"PIN_ARRAY_2X1";1;"Jumper-2";;;
28;"D3,D4,D5";"LED-0805";3;"LED";;;
29;"L1";"inductor22";1;"15uH";;;
30;"D2";"D3";1;"DIODE";;;
31;"C24,C22,C42,C20";"SM0603";4;"1uF";;;
32;"C7,C3";"SM0603";2;"1uf";;;
33;"U3";"SSOP28";1;"PIC16F722A";;;
34;"U2";"D2PAK";1;"7805CALC";;;
35;"SW34,SW45,SW33,SW35,SW53,SW31,SW36,SW41,SW46,SW51,SW44,SW32,SW52,SW43,SW47,SW42,SW37,SW73,SW26,SW77,SW16,SW57,SW22,SW24,SW61,SW72,SW11,SW25,SW74,SW75,SW12,SW13,SW14,SW15,SW76,SW17,SW21,SW23,SW67,SW27,SW71,SW62,SW55,SW63,SW64,SW65,SW66,SW56,SW54";"BOUTON_CLAVIER2.1";49;"B";;;
36;"Reg5v1";"SOT23_6";1;"REG710";;;
37;"Creg5v_in1,Creg5v_out1";"SM0603";2;"2.2µF";;;
38;"Creg5v_pump1";"SM0603";1;"0.22µF";;;
39;"D6";"sot23";1;"D_SCHOTTKY";;;
40;"C52";"SM0603";1;"100pF";;;
41;"D7";"sot23";1;"DOUBLE_SCH_KCOM";;;
42;"P4";"JACK_ALIM_PIerre";1;"CONN_2";;;
43;"P3,P5";"CONN_USB_MINI_PIERRE";2;"CONN_4";;;
