Drill Listing
=============
Drill: .004  Tool: 1  Feed: 0  Speed: 0
X -39012  Y 31400
X -32937  Y 31469
X -43974  Y 33223
X -45800  Y 35000
X -44600  Y 36800
X -40400  Y 40200
X -44000  Y 41000
X -40400  Y 41800
X -43783  Y 43940
X -39400  Y 44800
X -43600  Y 47000
X -39400  Y 47600
X -47738  Y 50702
X -38400  Y 52100
X -38400  Y 54500
X -38400  Y 56900
X -38400  Y 59300
X -48600  Y 60000
X -48600  Y 61200
X -38600  Y 61700
X -48600  Y 62400
X -48600  Y 63600
X -35200  Y 64600
X -48600  Y 64800
X -48600  Y 66000
X -35200  Y 66600
X -48600  Y 67200
X -35200  Y 68400
X -48600  Y 68400
X -48600  Y 69600
X -48600  Y 70800
X -33800  Y 71800
X -48600  Y 72000
X -48600  Y 73200
X -48600  Y 74400
X -48600  Y 75600
X -48600  Y 76800
X -48600  Y 78000
X -48600  Y 79200
X -48600  Y 80400
X -32800  Y 81200
X -43400  Y 81200
X -48600  Y 81600
X -48600  Y 82800
X -32800  Y 83400
X -44000  Y 83400
X -46400  Y 86400
X -46400  Y 87600
X -46400  Y 88800
X -46400  Y 90000
X -46400  Y 91200
X -46400  Y 92400
X -48800  Y 92400
X -48800  Y 93600
X -46400  Y 93600
X -48800  Y 94800
X -46400  Y 94800
X -48800  Y 96000
X -46400  Y 96000
X -48800  Y 97200
X -46400  Y 97200
X -48800  Y 98400
X -46400  Y 98400
X -46400  Y 99600
X -48800  Y 99600
X -46400  Y 100800
X -48800  Y 100800
X -46400  Y 102000
X -48800  Y 102000
X -46400  Y 103200
X -48800  Y 103200
X -46400  Y 104400
X -48800  Y 104400
X -46400  Y 105600
X -48800  Y 105600
X -46400  Y 106800
X -48800  Y 106800
X -34400  Y 107400
X -46400  Y 108000
X -48800  Y 108000
X -46400  Y 109200
X -48800  Y 109200
X -48800  Y 110400
X -46400  Y 110400
X -46400  Y 111600
X -48800  Y 111600
X -34400  Y 112400
X -48800  Y 112800
X -46400  Y 112800
X -48800  Y 114000
X -46400  Y 114000
X -46400  Y 115200
X -48800  Y 115200
X -46400  Y 116400
X -48800  Y 116400
X -48800  Y 117600
X -46400  Y 117600
X -48800  Y 118800
X -46400  Y 118800
X -46400  Y 120000
X -48800  Y 120000
X -48800  Y 121200
X -46400  Y 121200
X -46400  Y 122400
X -48800  Y 122400
X -34400  Y 123600
X -46400  Y 123600
X -48800  Y 123600
X -48800  Y 124800
X -46400  Y 124800
X -46400  Y 126000
X -48800  Y 126000
X -46400  Y 127200
X -48800  Y 127200
X -46400  Y 128400
X -48800  Y 128400
X -46400  Y 129600
X -46400  Y 130800
X -49400  Y 133600
X -52600  Y 133800
X -55000  Y 134200
X -52600  Y 135000
X -43800  Y 135400
X -55000  Y 136200
X -55800  Y 137600
X -57600  Y 139600
X -50200  Y 142000
X -57600  Y 143000
X -57600  Y 146600
X -57600  Y 149800
X -48200  Y 152200
X -57600  Y 153200
X -57600  Y 156800
X -51600  Y 159200
X -50000  Y 162000
X -50000  Y 165600
X -48800  Y 168800
X -48800  Y 172200
X -48800  Y 175800
X -49000  Y 179200
X -49000  Y 182600
X -49000  Y 186200
X -49000  Y 189600
X -49000  Y 193000
X -49000  Y 196600
X -48800  Y 200600
X -48800  Y 204000
X -48800  Y 207600
X -48800  Y 210600
X -48800  Y 214000
X -48800  Y 217600
X -50800  Y 218000
X -50800  Y 221400
X -50800  Y 225000
X -48600  Y 226600
X -50800  Y 228200
X -50800  Y 231600
X -50800  Y 235200
X -50800  Y 238400
X -37000  Y 238800
X -50800  Y 241800
X -36600  Y 243000
X -50800  Y 245400
X -35000  Y 246600
X -37400  Y 247800
X -50800  Y 248600
X -35000  Y 249200
X -50800  Y 252000
X -35000  Y 253000
X -50800  Y 255600
X -35000  Y 256200
X -48800  Y 259200
X -35000  Y 261600
X -48800  Y 262600
X -35000  Y 265000
X -48800  Y 266200
X -35000  Y 268600
X -48800  Y 269800
X -35800  Y 270200
X -48800  Y 273200
X -35400  Y 274200
X -48800  Y 276800
X -35800  Y 279000
X -33400  Y 279800
X -48800  Y 280000
X -35800  Y 281400
X -48800  Y 283400
X -35600  Y 285400
X -48800  Y 287000
X -35800  Y 287600
X -35800  Y 289400
X -35800  Y 291000
X -49400  Y 293400
X -34200  Y 294800
X -37200  Y 295800
X -33600  Y 296400
X -49400  Y 296800
X -37400  Y 297400
X -35400  Y 297400
X -49400  Y 300200
X -41800  Y 302800
X -49400  Y 303400
X -49000  Y 307200
X -44600  Y 308000
X -46800  Y 310200
X -35800  Y 311800
X -46800  Y 313600
X -35800  Y 315200
X -43717  Y 315991
X -46200  Y 318000
X -45600  Y 319800
X -38772  Y 321385
X -34200  Y 322200
X -44400  Y 323400
X -38200  Y 325200
X -34800  Y 327200
X -42000  Y 330000
X -38741  Y 332707
X -36600  Y 338800
X -32800  Y 343800
X -8400  Y 371200
X -8400  Y 368000
X -12400  Y 365400
X -8400  Y 364200
X -8600  Y 362400
X -12400  Y 362200
X -15600  Y 362200
X -20800  Y 362000
X -12531  Y 359360
X -10297  Y 359360
X -19600  Y 356600
X -11458  Y 352906
X -12699  Y 351364
X -11981  Y 349883
X -28400  Y 349600
X -7958  Y 348473
X -14747  Y 347236
X -14407  Y 342680
X -16190  Y 342622
X -8049  Y 342559
X -22310  Y 342200
X -7685  Y 340284
X -12079  Y 339762
X -23800  Y 339600
X -19076  Y 339106
X -13086  Y 339020
X -15800  Y 338000
X -26600  Y 336200
X -14708  Y 335465
X -20605  Y 334953
X -9900  Y 334361
X -26600  Y 334200
X -23800  Y 332800
X -12319  Y 332724
X -19871  Y 331475
X -17800  Y 330000
X -11936  Y 328334
X -14006  Y 327649
X -14882  Y 326248
X -20600  Y 325800
X -18206  Y 322687
X -13600  Y 322200
X -10200  Y 322200
X -10200  Y 319000
X -19400  Y 315200
X -10991  Y 315195
X -24600  Y 315000
X -16200  Y 315000
X -29800  Y 311800
X -24600  Y 311800
X -20200  Y 311800
X -16200  Y 311600
X -11200  Y 311200
X -29800  Y 308400
X -24800  Y 308400
X -20200  Y 308000
X -16400  Y 308000
X -11200  Y 307000
X -9600  Y 307000
X -25000  Y 304600
X -27800  Y 292600
X -29517  Y 292349
X -26900  Y 291100
X -11400  Y 289200
X -13000  Y 289200
X -9600  Y 289200
X -26600  Y 287600
X -23200  Y 286600
X -7629  Y 284241
X -20600  Y 281800
X -15594  Y 281688
X -29400  Y 281400
X -11401  Y 281333
X -27600  Y 280200
X -10190  Y 280165
X -17538  Y 280085
X -23756  Y 276543
X -18000  Y 274400
X -20600  Y 274200
X -10200  Y 271800
X -25400  Y 271500
X -25600  Y 266000
X -23200  Y 263800
X -26400  Y 261800
X -26200  Y 259400
X -23800  Y 255600
X -24800  Y 253000
X -19600  Y 252200
X -14600  Y 248600
X -24800  Y 247200
X -19000  Y 246200
X -14600  Y 245400
X -20400  Y 244800
X -10000  Y 241600
X -15400  Y 241200
X -22000  Y 240200
X -18200  Y 240000
X -14600  Y 238600
X -10800  Y 238400
X -22000  Y 236800
X -18200  Y 236600
X -14600  Y 235400
X -10800  Y 235400
